"[-1.049, 0.689, -0.1, -1.382, -0.015, -0.061],""[-1.034, -0.04, 0.097, 3.702, -3.092, -0.641]"""
"[-1.056, 0.694, -0.09, -1.466, 0.008, 0.046],""[-1.034, -0.04, 0.097, 3.702, -3.092, -0.641]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.013, -0.056, 0.108, 3.71, -2.885, -0.687]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.013, -0.056, 0.108, 3.71, -2.885, -0.687]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.058, 0.686, -0.083, -1.656, -0.092, 0.366],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.025, -0.058, 0.104, 3.718, -2.931, -0.779]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.054, 0.685, -0.086, -1.527, -0.038, 0.053],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.022, -0.046, 0.109, 3.733, -3.084, -0.664]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.062, 0.686, -0.088, -1.336, 0.122, 0.267],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.026, -0.052, 0.105, 3.664, -3.069, -0.595]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.057, 0.695, -0.079, -1.351, 0.046, 0.092],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.067, 0.675, -0.118, -1.588, 0.191, -0.061],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.067, 0.675, -0.118, -1.588, 0.191, -0.061],""[-1.025, -0.07, 0.091, 3.748, -3.031, -0.611]"""
"[-1.067, 0.675, -0.118, -1.588, 0.191, -0.061],""[-1.035, -0.051, 0.036, 3.71, -3.122, -0.634]"""
